"","Site","State","SeasonYear","TOTAL","CALIDRIS","DOWITCHER","PHALAROPE","YELLOWLEGS","PLOVER","UNKLARGE","UNKMEDSMALL","AMAV","AMGP","BASA","BBPL","BBSA","BNST","DUNL","GRYE","HUGO","KILL","LBCU","LESA","LEYE","MAGO","PAGP","PESA","PIPL","REKN","REPH","RNPH","RUFF","RUTU","SAND","SEPL","SESA","SOSA","SPSA","STSA","UPSA","WATA","WESA","WHIM","WILL","WIPH","WISN","CUSA"
"706","W.S. Huey WMA","New Mexico","Fall 2025",7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"707","Alkali Lakes","Oregon","Fall 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"708","Antelope Reservoir","Oregon","Fall 2025",743,0,8,0,23,0,0,0,4,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,660,0,1,10,0,0
"709","Bully Creek Reservoir","Oregon","Fall 2025",77,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,18,0,0,0,0,0
"710","Chewaucan Marsh","Oregon","Fall 2025",173,122,6,0,6,0,0,0,1,0,0,0,0,0,0,8,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"711","Cow Lakes","Oregon","Fall 2025",72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,30,0,0
"712","Drews Reservoir","Oregon","Fall 2025",38,25,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"713","Gerber Reservoir","Oregon","Fall 2025",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"714","Klamath Basin","Oregon","Fall 2025",1357,300,439,15,62,0,0,0,5,0,0,0,0,287,0,45,0,51,0,108,7,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,22,0,0,0,6,0
"715","Lake Abert","Oregon","Fall 2025",38259,6295,315,21607,10,0,0,0,7390,0,0,0,0,2616,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"716","Lakeview WTP","Oregon","Fall 2025",171,0,0,150,0,0,0,0,0,0,0,0,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"717","Malheur Lake and NWR","Oregon","Fall 2025",8940,1680,2945,1195,153,0,0,800,504,0,0,0,0,1458,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"718","Malheur Reservoir","Oregon","Fall 2025",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"719","Summer Lake","Oregon","Fall 2025",32498,2981,1420,51,42,0,0,6500,17512,0,0,1,0,3263,44,48,0,387,10,161,10,0,0,0,0,0,0,10,0,0,0,1,0,0,2,0,0,0,20,0,0,13,1,0
"720","Warm Springs Reservoir (OR)","Oregon","Fall 2025",183,30,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,42,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,47,0,0,8,0,0
"721","Warner Valley","Oregon","Fall 2025",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"722","Willow Valley Reservoir","Oregon","Fall 2025",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"723","Yonna Valley","Oregon","Fall 2025",52,0,0,18,0,0,0,0,29,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"724","Pyramid Lake","Pyramid Lake Paiute Tribe","Fall 2025",136,5,0,0,0,0,0,0,8,0,0,0,0,15,0,1,0,40,20,36,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,0,0,0,3,0,0,0,0,0
"725","Summit Lake","Summit Lake Paiute Tribe","Fall 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"726","Amalga Barrens Sanctuary","Utah","Fall 2025",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"727","Blue Lake","Utah","Fall 2025",100,0,0,0,0,0,0,60,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,15,0,0,0,0,0
"728","Fish Springs NWR","Utah","Fall 2025",312,17,11,0,0,0,0,0,55,0,5,0,0,12,51,0,0,0,2,8,8,3,0,0,0,30,0,0,0,0,0,0,0,5,16,24,0,0,0,0,0,52,0,0
"729","Great Salt Lake","Utah","Fall 2025",270722,286,21296,9955,98,0,420,322,123980,0,78,11,0,31335,0,309,0,1327,45,76,179,3220,0,0,0,0,0,36863,0,1,2,0,259,15,101,2,0,0,515,0,62,39444,60,0
"730","Olsen Reservoir","Utah","Fall 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"731","Utah Lake","Utah","Fall 2025",2870,0,19,0,0,0,0,0,1365,0,2,0,0,515,0,6,0,482,0,28,13,3,0,0,0,0,0,0,0,0,0,2,0,2,302,0,0,0,30,0,2,96,3,0
"732","Anatone Ponds","Washington","Fall 2025",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"733","Byron Ponds complex","Washington","Fall 2025",34,0,6,0,0,0,0,0,0,0,1,0,0,13,0,2,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"734","Columbia NWR","Washington","Fall 2025",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"735","Connell STP","Washington","Fall 2025",309,25,0,0,0,0,0,0,4,0,10,0,0,12,0,18,0,31,0,56,35,0,0,2,0,0,0,6,0,0,0,0,3,0,16,0,0,0,84,0,0,5,2,0
"736","Coulee City STP","Washington","Fall 2025",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,5,3,0,0,2,0,0,0,30,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0
"737","Cow Lake","Washington","Fall 2025",29,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"738","Crab Creek Hwy 26 ponds","Washington","Fall 2025",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"739","Crooked Knee Lake","Washington","Fall 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"740","Grandview Sewage Ponds","Washington","Fall 2025",60,0,2,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,0,15,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0
"741","Lind Coulee","Washington","Fall 2025",197,0,9,0,0,0,0,0,0,0,7,0,0,2,0,22,0,37,0,26,81,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,2,0
"742","McCain Ponds","Washington","Fall 2025",75,0,0,0,0,0,0,0,5,0,0,0,0,7,0,3,0,11,0,8,8,0,0,0,0,0,0,8,0,0,0,2,2,1,1,0,0,0,16,0,0,3,0,0
"743","Othello Sewage Ponds","Washington","Fall 2025",181,0,0,0,0,0,0,0,0,0,4,0,0,10,0,7,0,35,0,20,9,0,0,1,0,0,0,70,0,0,0,0,0,0,17,0,0,0,2,0,0,0,6,0
"744","Potholes Reservoir","Washington","Fall 2025",877,110,1,0,0,0,0,0,4,0,49,4,0,6,0,1,0,150,0,191,10,1,0,2,0,0,0,45,0,0,15,0,1,0,30,26,0,0,230,0,0,0,1,0
"745","Reardon Ponds","Washington","Fall 2025",101,16,0,0,11,0,0,0,0,0,0,0,0,0,6,1,0,24,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,29,0,0
"746","Richland Asphalt Ponds","Washington","Fall 2025",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"747","Savage Rd pond","Washington","Fall 2025",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"748","Sheep Lake","Washington","Fall 2025",23,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"749","Soap Lake","Washington","Fall 2025",212,0,0,0,2,0,0,0,8,0,1,0,0,9,0,4,0,10,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
"750","Sprague Lake","Washington","Fall 2025",26,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"751","Swanson Lakes Wildlife Area","Washington","Fall 2025",69,0,3,0,0,0,0,0,0,0,0,0,0,7,0,1,0,4,0,22,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,12,0,0
"752","Walla Walla River Delta","Washington","Fall 2025",317,0,18,0,0,0,0,0,0,0,0,0,0,11,0,14,0,2,0,5,31,0,0,0,0,0,0,220,0,0,0,0,0,2,4,2,0,0,4,0,0,4,0,0
"753","Yakima River Delta","Washington","Fall 2025",144,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55,0,24,7,0,0,0,0,0,0,0,0,0,0,2,2,0,5,0,0,0,18,0,0,0,0,0
"754","Alkali & Beck Lakes","Wyoming","Fall 2025",36,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,12,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"755","Bamforth NWR","Wyoming","Fall 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"756","Burlington Lake","Wyoming","Fall 2025",509,0,0,9,0,0,0,0,11,0,123,0,0,16,0,2,0,127,0,2,47,10,0,0,0,0,0,32,0,0,0,0,1,0,2,7,0,0,1,0,2,116,0,1
"757","Deaver Reservoir","Wyoming","Fall 2025",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"758","Hutton Lake NWR","Wyoming","Fall 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"759","Laramie Plains Lakes","Wyoming","Fall 2025",109,0,0,0,10,0,0,0,8,0,3,0,0,0,0,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,41,0,0
"760","Lovell Lakes","Wyoming","Fall 2025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"761","Mortenson Lake NWR","Wyoming","Fall 2025",165,6,0,0,0,0,0,0,4,0,16,0,0,0,0,1,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,113,6,0
"762","Pathfinder NWR","Wyoming","Fall 2025",2859,0,0,0,0,0,0,0,655,0,1070,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,71,0,0,0,0,0,0,0,1,0,0,5,0,3,1047,0,0
"763","Table Mountain WMA","Wyoming","Fall 2025",64,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,20,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"764","Wardell/Harrington Reservoirs","Wyoming","Fall 2025",3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"765","Arapaho NWR","Colorado","Spring 2022",726,0,66,0,0,0,0,0,74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,1,0,0,0,0,0,9,528,0,0
"766","Walden Reservoir","Colorado","Spring 2022",8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"767","Hutton Lake NWR","Wyoming","Spring 2022",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"768","Buenos Aires NWR","Arizona","Spring 2023",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"769","El Rio Preserve","Arizona","Spring 2023",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"770","Gilbert Riparian Preserve","Arizona","Spring 2023",49,0,22,0,0,0,0,0,2,0,0,0,0,6,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"771","Higley and Ocotillo WRPs","Arizona","Spring 2023",128,0,103,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"772","Imperial NWR","Arizona","Spring 2023",4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"773","Sweetwater Wetland","Arizona","Spring 2023",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"774","Whitewater Draw SWA","Arizona","Spring 2023",11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"775","Willcox Playa","Arizona","Spring 2023",195,0,67,0,0,0,0,0,17,0,1,0,0,8,0,0,0,10,0,34,4,0,0,0,0,0,0,1,0,0,0,4,0,0,4,0,0,0,17,0,14,14,0,0
"776","Ash Creek Wildlife Area","California","Spring 2023",1299,0,296,0,0,0,0,0,21,0,0,11,0,88,846,3,0,5,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0
"777","Big Sage Reservoir","California","Spring 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"778","Bridgeport Reservoir","California","Spring 2023",314,53,65,0,5,0,0,0,108,0,0,0,0,9,0,0,0,25,0,26,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,10,5,2,0
"779","Butte Valley (Butte Co)","California","Spring 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"780","China Lake WTP","California","Spring 2023",114,0,15,0,0,0,0,2,38,0,0,0,0,19,0,8,0,7,0,12,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0
"781","Clear Lake NWR","California","Spring 2023",50,45,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"782","Crowley Lake","California","Spring 2023",182,0,50,0,0,0,0,0,69,0,0,0,0,0,11,0,0,2,0,4,0,0,0,0,0,0,0,5,0,0,0,15,0,0,0,0,0,0,20,0,6,0,0,0
"783","Crowley Lake North Ponds ","California","Spring 2023",13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"784","Dillon Lake","California","Spring 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"785","Donovan Reservoir","California","Spring 2023",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"786","Eagle Lake","California","Spring 2023",6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"787","East Cronese Dry Lake","California","Spring 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"788","Edwards Air Force Base WTP","California","Spring 2023",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
"789","Fall River Valley","California","Spring 2023",63,0,0,0,0,0,0,0,6,0,0,0,0,17,0,0,0,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0
"790","Goose Lake","California","Spring 2023",425,37,21,0,0,0,0,0,240,0,0,0,0,0,80,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,2,0
"791","Harper Dry Lake","California","Spring 2023",47,0,7,0,0,0,0,0,4,0,0,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,25,1,0,0,0,0
"792","Honey Lake","California","Spring 2023",126,0,29,0,0,0,0,0,43,0,0,0,0,18,0,5,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0
"793","Horse Lake","California","Spring 2023",17,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"794","Hot Creek Gorge","California","Spring 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"795","Jess Valley Marshes","California","Spring 2023",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"796","June Lake WTP","California","Spring 2023",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"797","Klamath Basin CA","California","Spring 2023",51,18,2,0,0,0,0,0,1,0,0,0,0,7,0,2,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"798","Lake Almanor Northwest","California","Spring 2023",31,0,1,0,0,0,0,0,0,0,0,6,0,0,1,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"799","Lake Elsinore","California","Spring 2023",68,0,0,0,0,0,0,0,44,0,0,0,0,8,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"800","Lancaster WTP","California","Spring 2023",6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"801","Madeline Plains","California","Spring 2023",5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"802","Modoc NWR","California","Spring 2023",332,0,176,0,0,0,0,0,10,0,0,0,0,35,62,2,0,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0
"803","Mono Lake","California","Spring 2023",328,4,92,0,1,0,0,0,9,0,0,0,0,3,7,0,0,61,0,70,0,0,0,0,0,0,0,0,0,0,0,3,0,0,19,0,0,0,31,0,0,3,0,0
"804","Mud Flat","California","Spring 2023",6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"805","Owens Lake","California","Spring 2023",42973,15853,596,18,0,0,0,0,3323,0,0,32,0,89,251,224,0,4,15,18911,11,9,0,0,0,0,0,69,0,0,1,195,0,1,13,0,0,0,3219,16,16,85,0,0
"806","Piute Ponds","California","Spring 2023",303,0,143,0,0,0,0,0,12,0,0,3,0,8,4,0,0,3,0,27,1,0,1,0,0,0,0,6,0,0,0,5,0,0,2,0,0,0,81,6,0,0,0,0
"807","Said Valley Reservoir","California","Spring 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"808","Salton Sea","California","Spring 2023",21324,8393,1318,316,93,0,0,0,530,0,0,147,0,1562,177,16,1,124,4,987,0,82,0,0,0,121,0,1367,0,2,303,125,0,0,18,0,0,0,4897,76,144,71,1,0
"809","San Jacinto Wildlife Area","California","Spring 2023",15,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0
"810","Sierra Valley","California","Spring 2023",92,0,0,0,0,0,0,0,38,0,0,0,0,34,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
"811","Silva Flat Reservoir","California","Spring 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"812","Tinemaha Reservoir","California","Spring 2023",11,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"813","Topaz Lake","California","Spring 2023",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"814","Upper Middle Lower Alaki Lakes","California","Spring 2023",173,0,0,0,2,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,7,0,0
"815","West Valley Reservoir","California","Spring 2023",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"816","Willow Creek Wildlife Area","California","Spring 2023",74,0,26,0,0,0,0,0,0,0,0,0,0,13,0,9,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0
"817","Alamosa NWR","Colorado","Spring 2023",66,0,44,0,0,0,0,0,0,0,0,0,0,2,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0
"818","Arapaho NWR","Colorado","Spring 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"819","Blanca Wetlands","Colorado","Spring 2023",837,0,7,0,0,0,0,0,400,0,9,0,0,0,0,0,0,15,0,11,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,379,2,0
"820","Blue Mesa Reservoir Iola Basin","Colorado","Spring 2023",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"821","Hebron Waterfowl Area","Colorado","Spring 2023",21,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"822","Highline Reservoir","Colorado","Spring 2023",6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"823","Lake John","Colorado","Spring 2023",7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"824","Monte Vista NWR","Colorado","Spring 2023",65,0,0,0,0,0,0,0,15,0,5,0,0,0,0,21,0,5,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0
"825","Rio Blanco SWA","Colorado","Spring 2023",7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"826","Russell Lakes SWA","Colorado","Spring 2023",112,0,0,0,0,5,0,0,66,0,0,0,0,1,35,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"827","Walden Reservoir","Colorado","Spring 2023",126,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
